session_ID,station_ID,port_ID,session_start,session_end,kWh_delivered,payment_required
2_39_81_4550_2021-05-09 13:56:32.987321,39,2-39-81-4550,2021-05-09T13:56:39Z,2021-05-09T14:52:37Z,41.416,TRUE
2_39_79_379_2021-05-09 18:32:56.205150,39,2-39-79-379,2021-05-09T18:33:03Z,2021-05-10T01:48:19Z,9.417,TRUE
2_39_81_4550_2021-05-09 18:48:44.910611,39,2-39-81-4550,2021-05-09T18:48:58Z,2021-05-09T19:34:29Z,12.226,TRUE
2_39_130_31_2021-05-09 21:25:57.363733,39,2-39-130-31,2021-05-09T21:26:04Z,2021-05-09T22:46:12Z,8.651,TRUE
2_39_78_365_2021-05-10 00:19:56.928155,39,2-39-78-365,2021-05-10T00:20:16Z,2021-05-10T02:52:44Z,2.276,TRUE
2_39_139_28_2021-05-10 01:19:28.800651,39,2-39-139-28,2021-05-10T01:19:29Z,2021-05-10T02:10:07Z,1.87,TRUE
2_39_81_4550_2021-05-10 01:56:35.395130,39,2-39-81-4550,2021-05-10T01:56:39Z,2021-05-10T02:57:50Z,44.298,TRUE
2_39_81_4550_2021-05-10 03:23:00.768710,39,2-39-81-4550,2021-05-10T03:23:11Z,2021-05-10T03:29:59Z,4.524,TRUE
2_39_81_4550_2021-05-10 03:46:37.073533,39,2-39-81-4550,2021-05-10T03:46:40Z,2021-05-10T04:07:26Z,13.31,TRUE
2_39_79_380_2021-05-10 15:06:06.953578,39,2-39-79-380,2021-05-10T15:06:15Z,2021-05-11T01:56:16Z,43.752,TRUE
2_39_131_30_2021-05-10 15:21:28.328814,39,2-39-131-30,2021-05-10T15:21:31Z,2021-05-10T19:08:14Z,13.022,TRUE
2_39_139_28_2021-05-10 16:29:30.530041,39,2-39-139-28,2021-05-10T16:29:31Z,2021-05-11T00:11:10Z,5.861,TRUE
2_39_138_29_2021-05-10 19:26:16.046455,39,2-39-138-29,2021-05-10T19:26:27Z,2021-05-10T23:38:08Z,6.243,TRUE
2_39_81_4550_2021-05-10 21:49:34.948181,39,2-39-81-4550,2021-05-10T21:49:44Z,2021-05-10T22:42:27Z,21.316,TRUE
2_39_125_21_2021-05-10 23:28:06.107073,39,2-39-125-21,2021-05-10T23:28:15Z,2021-05-11T00:29:55Z,1.616,TRUE
2_39_139_28_2021-05-11 02:16:24.373798,39,2-39-139-28,2021-05-11T02:16:44Z,2021-05-11T02:38:05Z,2.447,TRUE
